age,monthly_income,debt_to_income_ratio,credit_score,loan_amount,interest_rate,loan_term,installment,num_of_open_accounts,total_credit_limit,current_balance,delinquency_history,public_records,loan_paid_back,gender_encoded,marital_status_Divorced,marital_status_Married,marital_status_Single,marital_status_Widowed,education_level_encoded,employment_status_encoded,subgrade,grade_encoded,loan_purpose_Business,loan_purpose_Car,loan_purpose_Debt consolidation,loan_purpose_Education,loan_purpose_Home,loan_purpose_Medical,loan_purpose_Other,loan_purpose_Vacation
67,4660.56,0.088,727,20613.2,13.75,60,476.97,4,77521.8,6832.02,0,0,1,0,False,False,True,False,1.0,2,2,3,False,False,True,False,False,False,False,False
71,1107.98,0.117,623,13225.93,15.11,36,459.19,4,12599.76,8654.39,3,0,1,0,False,False,True,False,1.0,0,2,4,False,True,False,False,False,False,False,False
64,6385.57,0.154,750,8606.43,11.97,36,285.73,8,115966.9,6219.9,3,0,1,0,False,True,False,False,2.0,0,1,2,True,False,False,False,False,False,False,False
75,6395.7,0.163,759,2284.88,10.14,36,73.88,5,116481.63,42562.91,1,0,1,1,False,False,True,False,3.0,1,5,2,False,False,True,False,False,False,False,False
72,2096.09,0.04,719,17789.74,14.53,36,612.6,5,40551.35,12079.77,2,0,1,1,False,True,False,False,3.0,2,4,3,False,False,False,False,False,True,False,False
23,501.58,0.104,602,26387.55,16.3,36,931.62,5,9863.04,9349.22,0,0,0,1,False,False,True,False,2.0,4,3,5,False,False,True,False,False,False,False,False
57,6719.53,0.241,693,22884.38,8.01,60,464.12,4,76328.19,53751.23,5,0,1,0,False,True,False,False,1.0,2,2,3,False,False,False,False,False,True,False,False
71,580.76,0.206,727,23939.96,10.73,60,517.29,4,8478.63,496.35,4,0,1,0,False,False,True,False,1.0,0,1,3,False,True,False,False,False,False,False,False
27,3797.62,0.143,714,8316.32,11.87,60,184.45,5,70307.77,9683.34,0,0,1,1,False,True,False,False,0.0,0,4,3,False,False,True,False,False,False,False,False
41,2308.97,0.069,673,10351.45,14.6,36,356.81,8,35407.59,25604.13,2,0,1,1,False,False,True,False,2.0,0,5,3,False,False,True,False,False,False,False,False
29,2109.52,0.107,608,21421.74,14.44,60,503.35,4,24710.54,7157.97,1,0,1,0,False,False,True,False,2.0,0,5,5,False,False,True,False,False,False,False,False
59,2335.12,0.183,697,10606.79,12.62,36,355.45,7,33526.47,1683.26,3,0,0,1,False,False,True,False,2.0,0,4,3,False,False,False,False,False,False,True,False
38,3277.01,0.171,593,15284.49,16.08,36,537.96,7,46987.9,15402.09,3,0,1,1,False,False,True,False,3.0,0,3,5,False,False,True,False,False,False,False,False
24,836.04,0.098,643,19958.98,13.91,60,463.48,10,15232.58,1401.49,2,0,1,1,False,True,False,False,2.0,0,2,4,False,False,False,True,False,False,False,False
45,2699.08,0.44,598,18787.69,17.06,36,670.39,6,40836.89,32116.05,4,0,0,0,False,False,False,True,2.0,4,3,5,False,False,True,False,False,False,False,False
34,1284.79,0.09,665,500.0,13.79,36,17.04,7,26456.98,3470.3,4,0,1,0,False,False,True,False,3.0,0,2,4,False,False,False,False,False,False,True,False
70,2236.66,0.039,658,33869.0,16.64,36,1201.46,4,38585.5,20053.96,2,0,1,2,False,True,False,False,2.0,0,1,4,False,False,False,False,False,False,True,False
29,3335.06,0.073,655,23131.95,14.15,60,540.04,5,48608.42,3133.64,1,0,1,1,False,False,True,False,2.0,0,5,4,False,False,False,False,True,False,False,False
46,5119.08,0.294,580,2855.15,12.38,36,95.35,5,40047.57,34659.95,3,0,0,0,False,False,True,False,1.0,4,1,5,False,False,False,False,False,True,False,False
73,1947.07,0.098,785,19723.17,11.29,60,431.69,3,17727.96,2849.65,2,0,1,0,False,False,True,False,3.0,0,3,2,True,False,False,False,False,False,False,False
22,8859.83,0.106,648,9020.84,14.01,36,308.35,6,90450.17,4818.95,1,0,1,1,False,True,False,False,0.0,0,3,4,False,False,True,False,False,False,False,False
40,1770.44,0.358,652,17952.71,13.23,36,606.89,8,30292.09,14114.73,6,0,1,0,False,False,True,False,0.0,2,4,4,True,False,False,False,False,False,False,False
48,1798.03,0.147,587,22296.51,15.06,36,773.57,4,19484.61,15244.96,2,0,1,1,False,True,False,False,2.0,0,1,5,False,False,False,True,False,False,False,False
67,5609.46,0.097,605,5207.8,12.71,60,117.72,7,83247.84,78866.44,2,0,1,1,False,False,True,False,2.0,0,2,5,False,False,False,False,False,False,False,True
27,2608.27,0.221,707,13459.01,13.32,36,455.56,6,50804.49,35883.45,1,0,1,1,False,False,True,False,1.0,1,5,3,False,False,True,False,False,False,False,False
64,3372.07,0.165,791,22931.8,8.65,36,725.5,7,50221.45,28359.14,0,1,1,1,False,False,True,False,2.0,4,3,2,False,False,False,False,False,False,True,False
28,2256.73,0.094,708,41679.04,11.1,60,908.28,2,34160.51,26050.45,1,0,1,0,False,False,True,False,2.0,0,2,3,True,False,False,False,False,False,False,False
67,2418.29,0.319,682,12183.94,10.89,36,398.25,3,45826.67,31322.33,3,0,1,1,False,False,True,False,3.0,2,2,3,False,True,False,False,False,False,False,False
55,3732.87,0.09,733,2044.83,10.44,36,66.4,4,47189.73,11009.78,1,0,1,1,False,False,True,False,1.0,0,5,3,True,False,False,False,False,False,False,False
34,6488.5,0.052,662,6954.56,13.02,36,234.39,4,54523.53,38221.83,2,0,1,1,False,False,True,False,2.0,0,4,4,False,False,True,False,False,False,False,False
37,3291.86,0.291,667,27060.87,14.72,36,934.37,7,55874.14,3656.01,4,1,1,0,False,True,False,False,2.0,0,2,4,False,False,False,False,False,False,False,True
56,3914.14,0.033,732,17320.78,11.36,36,570.02,3,34070.61,10824.32,1,0,1,0,False,False,True,False,1.0,0,3,3,False,False,False,False,False,False,True,False
70,5453.84,0.057,665,15303.67,11.86,36,507.28,3,60655.76,30859.15,3,0,1,0,False,True,False,False,1.0,0,5,4,False,True,False,False,False,False,False,False
60,2289.32,0.075,798,30714.91,6.49,36,941.24,6,42637.75,16777.8,3,0,1,0,False,False,True,False,2.0,2,3,2,False,False,False,False,True,False,False,False
24,1681.68,0.354,646,10419.48,10.43,60,223.59,8,27728.17,15539.42,3,0,1,1,False,True,False,False,2.0,0,3,4,False,False,True,False,False,False,False,False
22,1636.91,0.085,645,20987.63,14.86,60,497.75,9,23777.34,11799.41,3,0,1,1,False,False,True,False,2.0,0,4,4,False,False,True,False,False,False,False,False
26,1778.43,0.254,594,9605.16,14.35,36,329.92,9,27770.2,23301.94,2,0,1,0,False,False,True,False,2.0,0,1,5,False,False,False,False,False,False,True,False
74,1617.66,0.118,686,11636.29,12.94,36,391.74,6,29245.95,13529.88,0,0,1,1,False,False,False,True,1.0,0,4,3,False,False,False,False,False,False,True,False
62,5854.39,0.293,816,14260.74,7.82,36,445.7,5,88552.78,10801.64,2,0,1,1,False,False,True,False,1.0,0,3,1,False,False,False,False,False,True,False,False
24,977.03,0.272,796,4185.81,7.13,36,129.49,4,12229.12,4101.02,2,0,1,0,False,True,False,False,1.0,0,5,2,False,False,False,False,True,False,False,False
74,4313.72,0.2,714,3953.41,12.7,60,89.35,6,60246.37,3268.62,2,0,1,1,False,True,False,False,1.0,0,4,3,True,False,False,False,False,False,False,False
49,1451.03,0.126,692,12889.65,15.25,36,448.4,2,14588.51,2282.6,2,0,1,1,False,False,True,False,3.0,0,5,3,False,False,True,False,False,False,False,False
38,8864.82,0.135,575,10809.07,12.45,36,361.34,4,93921.55,44205.03,3,0,1,1,True,False,False,False,1.0,0,1,6,False,False,True,False,False,False,False,False
46,3852.99,0.24,723,23461.16,7.59,36,730.76,6,34847.81,6069.86,1,0,1,1,False,True,False,False,1.0,0,2,3,False,False,False,False,False,True,False,False
64,1788.96,0.096,632,4489.55,16.43,36,158.79,4,26864.2,16248.31,6,2,1,0,False,True,False,False,1.0,0,4,4,False,False,False,False,False,False,True,False
54,2186.6,0.065,731,22433.03,9.6,36,719.65,3,19450.13,9693.8,2,0,1,0,False,False,False,True,2.0,2,3,3,False,False,False,False,True,False,False,False
30,2877.83,0.252,746,15912.88,14.25,36,545.8,8,30213.25,13875.49,2,0,1,0,False,True,False,False,2.0,0,2,2,True,False,False,False,False,False,False,False
56,4431.43,0.413,850,10942.58,11.09,36,358.71,5,33860.39,20911.03,3,0,1,0,False,False,True,False,1.0,0,3,1,False,False,False,False,True,False,False,False
34,3702.08,0.145,661,17284.88,15.05,36,599.61,5,66695.67,46016.26,0,0,1,1,False,True,False,False,1.0,0,5,4,True,False,False,False,False,False,False,False
51,3001.92,0.133,724,17092.49,10.05,60,363.59,1,44626.95,42350.14,2,0,1,1,False,False,True,False,0.0,0,5,3,False,False,True,False,False,False,False,False
68,1980.21,0.179,726,8737.08,11.16,36,286.7,2,22467.31,21216.64,0,0,1,1,False,False,True,False,2.0,1,3,3,False,False,False,False,True,False,False,False
35,2543.23,0.141,662,15806.45,14.32,60,370.42,1,38897.78,9318.21,3,0,1,1,False,True,False,False,3.0,0,4,4,False,False,False,False,False,False,True,False
28,6769.89,0.116,726,12676.02,12.8,36,425.89,10,95993.99,20371.93,3,0,1,2,True,False,False,False,1.0,1,5,3,False,True,False,False,False,False,False,False
34,10849.79,0.063,693,18042.75,11.53,36,595.24,3,165401.5,76121.42,1,0,1,0,False,False,True,False,2.0,4,2,3,False,False,False,False,False,False,True,False
43,5864.51,0.119,722,26516.78,12.82,36,891.16,8,82886.3,43536.92,2,0,1,1,False,True,False,False,2.0,1,5,3,False,False,True,False,False,False,False,False
60,1705.17,0.295,624,6709.69,15.0,36,232.59,5,16745.3,5389.47,2,0,1,1,False,False,True,False,1.0,0,5,4,False,False,False,False,True,False,False,False
41,7148.84,0.102,580,10023.24,14.77,36,346.33,5,64606.93,50781.58,7,0,0,1,False,False,True,False,2.0,0,1,5,False,False,True,False,False,False,False,False
36,2481.67,0.272,658,15067.38,12.46,36,503.77,2,28543.79,24712.6,5,0,0,1,False,True,False,False,2.0,4,3,4,False,False,True,False,False,False,False,False
65,3032.14,0.239,667,24986.54,16.37,60,612.55,5,48293.63,22394.54,1,0,1,1,True,False,False,False,2.0,1,5,4,False,False,False,True,False,False,False,False
38,1419.06,0.128,663,5745.56,9.16,60,119.72,1,14089.69,4339.74,0,0,1,0,False,False,True,False,2.0,2,5,4,False,True,False,False,False,False,False,False
67,3239.74,0.382,615,20487.12,11.77,60,453.35,6,59399.96,19005.73,6,0,1,0,False,False,True,False,2.0,0,1,4,False,False,False,True,False,False,False,False
73,1889.44,0.113,736,500.0,13.82,36,17.05,8,34360.55,2890.97,2,0,1,0,False,False,True,False,3.0,4,3,3,False,False,False,False,False,False,False,True
44,6908.0,0.077,677,22705.0,12.9,60,515.45,2,77481.84,24865.82,1,0,1,1,False,True,False,False,3.0,0,3,3,False,False,True,False,False,False,False,False
46,13927.52,0.267,804,26375.58,9.35,60,552.0,5,183155.12,12117.19,3,0,0,1,False,False,True,False,2.0,4,2,1,False,False,False,False,False,False,True,False
45,3023.39,0.04,653,13374.14,13.56,36,454.24,4,44742.77,34166.82,1,0,1,0,False,False,True,False,2.0,0,1,4,True,False,False,False,False,False,False,False
65,4029.49,0.139,754,11531.97,9.5,36,369.4,4,55296.81,19797.51,1,0,1,0,False,True,False,False,3.0,0,4,2,False,False,True,False,False,False,False,False
61,2516.09,0.177,776,13049.15,11.68,36,431.43,5,21257.67,11193.84,0,0,1,0,False,False,True,False,0.0,2,2,2,False,False,False,False,False,False,True,False
49,3252.15,0.101,638,21653.22,13.41,60,497.23,5,45509.05,21697.73,2,0,1,0,False,False,True,False,2.0,2,4,4,False,False,False,False,False,False,True,False
35,2122.45,0.213,713,902.21,13.04,36,30.42,11,46160.12,37115.36,4,0,1,0,False,True,False,False,2.0,0,4,3,False,False,True,False,False,False,False,False
65,3647.82,0.19,713,25948.79,10.74,60,560.83,7,46134.09,33901.16,2,0,1,0,True,False,False,False,3.0,0,3,3,False,False,False,True,False,False,False,False
21,3851.34,0.053,580,9054.32,15.31,36,315.25,6,43173.83,2767.96,4,0,1,1,True,False,False,False,2.0,0,4,5,False,False,True,False,False,False,False,False
45,3620.51,0.114,738,32992.76,11.77,36,1092.21,2,42260.9,21293.86,2,0,1,0,False,False,True,False,3.0,2,5,3,False,False,True,False,False,False,False,False
27,4736.61,0.061,702,11700.41,11.53,36,386.0,3,75474.13,5677.84,2,1,1,1,True,False,False,False,3.0,0,1,3,False,False,True,False,False,False,False,False
29,2432.01,0.01,631,6996.65,15.53,36,244.36,4,24219.14,14989.18,0,0,1,1,False,True,False,False,3.0,2,2,4,False,False,False,True,False,False,False,False
44,15199.21,0.069,651,16438.26,13.71,60,380.02,8,191394.45,88584.82,2,0,1,0,False,False,True,False,2.0,1,5,4,False,False,True,False,False,False,False,False
21,2045.88,0.468,680,17972.01,11.58,36,593.33,5,37601.82,11264.4,2,0,0,1,False,True,False,False,1.0,3,3,3,False,False,False,False,False,True,False,False
64,2033.09,0.125,725,12732.53,11.55,36,420.17,1,27122.83,7160.96,1,0,1,1,False,False,True,False,2.0,0,3,3,False,True,False,False,False,False,False,False
28,668.88,0.281,671,500.0,12.16,60,11.16,3,12118.92,4197.59,3,0,1,1,False,True,False,False,1.0,0,2,3,False,False,True,False,False,False,False,False
44,4771.43,0.094,591,11414.78,14.9,36,395.14,3,72768.6,50462.17,1,0,1,1,False,True,False,False,2.0,0,4,5,True,False,False,False,False,False,False,False
31,544.0,0.301,703,28674.36,16.5,60,704.95,3,10847.7,5992.38,0,0,1,1,False,True,False,False,3.0,0,4,3,False,False,True,False,False,False,False,False
71,2465.33,0.036,661,35661.52,12.77,36,1197.63,7,49860.88,46503.47,4,0,1,1,False,False,True,False,2.0,2,5,4,False,False,False,True,False,False,False,False
37,1927.23,0.24,685,40266.07,16.09,36,1417.43,5,22703.42,7463.51,5,0,0,1,False,True,False,False,1.0,0,4,3,False,False,True,False,False,False,False,False
28,1276.5,0.085,697,14930.8,15.31,36,519.85,6,15816.69,8769.82,0,0,0,1,False,False,True,False,2.0,0,5,3,False,False,False,True,False,False,False,False
55,3144.82,0.208,787,24161.05,10.13,60,514.9,5,55270.55,18158.03,1,0,1,2,True,False,False,False,1.0,0,3,2,False,False,False,True,False,False,False,False
55,8737.78,0.199,580,14081.82,14.47,36,484.5,4,114548.03,19519.28,5,0,1,1,False,True,False,False,3.0,0,1,5,False,True,False,False,False,False,False,False
53,4689.44,0.244,767,16836.33,12.55,36,563.64,5,86448.37,28158.83,0,0,0,1,False,False,True,False,3.0,4,4,2,False,True,False,False,False,False,False,False
25,1914.74,0.049,748,20935.37,10.85,60,453.62,5,34351.47,13390.86,2,0,1,0,False,False,True,False,3.0,0,5,2,False,False,True,False,False,False,False,False
62,9988.4,0.098,623,20671.31,9.65,36,663.61,4,170150.63,76822.0,1,0,1,0,False,True,False,False,1.0,0,3,4,False,False,True,False,False,False,False,False
59,1949.62,0.043,760,17757.35,11.02,60,386.26,4,35729.24,31848.96,2,0,1,0,False,True,False,False,1.0,0,1,2,True,False,False,False,False,False,False,False
61,5832.78,0.047,613,18166.22,13.94,36,620.35,4,78726.72,53894.97,1,0,1,1,False,True,False,False,2.0,0,4,4,False,False,False,True,False,False,False,False
48,1066.89,0.197,713,17686.21,12.36,60,396.65,7,22636.41,5332.47,4,0,0,0,False,False,True,False,1.0,4,1,3,False,False,False,False,False,False,True,False
27,2632.61,0.028,624,25134.1,14.64,60,593.2,6,42503.57,35038.75,1,0,1,0,False,True,False,False,2.0,2,3,4,False,False,True,False,False,False,False,False
29,1483.11,0.233,672,7638.21,10.85,36,249.52,5,18506.03,15207.83,2,0,1,0,False,False,True,False,3.0,0,1,3,False,False,True,False,False,False,False,False
28,10525.67,0.24,723,10559.42,11.22,36,346.8,8,132129.15,40592.19,4,0,0,0,False,True,False,False,2.0,3,3,3,False,False,True,False,False,False,False,False
32,1997.63,0.185,694,10849.28,10.69,60,234.22,7,40822.55,30211.99,0,0,1,0,True,False,False,False,2.0,0,4,3,False,False,False,False,False,True,False,False
54,1640.08,0.048,665,18419.66,12.09,36,612.59,7,34057.72,9232.0,1,0,1,0,False,True,False,False,1.0,0,4,4,False,False,True,False,False,False,False,False
53,4000.52,0.187,692,21910.74,10.32,36,710.29,7,59243.34,34559.18,4,0,1,0,False,False,True,False,0.0,2,1,3,False,False,False,True,False,False,False,False
68,2605.32,0.349,641,8325.04,14.87,36,288.06,2,25772.75,14372.85,5,0,1,1,False,False,False,True,2.0,1,5,4,False,False,True,False,False,False,False,False
75,10973.79,0.4,677,500.0,9.11,36,15.93,10,146974.01,71521.54,3,0,0,0,False,False,True,False,1.0,4,5,3,False,False,False,True,False,False,False,False
43,3642.23,0.191,710,30605.55,12.79,36,1028.13,3,57003.45,17797.96,2,0,1,0,False,True,False,False,2.0,0,3,3,False,False,True,False,False,False,False,False
44,3147.33,0.205,730,15727.55,12.02,60,350.01,4,34031.43,18092.33,2,0,1,1,False,True,False,False,1.0,0,4,3,False,False,False,False,False,False,False,True
57,4662.68,0.307,522,22775.29,13.49,36,772.78,7,47313.35,44290.09,4,0,0,2,False,False,True,False,2.0,4,5,6,False,True,False,False,False,False,False,False
55,2649.2,0.097,729,9133.98,12.2,36,304.25,7,51085.86,15990.65,0,0,1,1,False,False,True,False,2.0,4,3,3,False,False,True,False,False,False,False,False
64,3490.77,0.07,575,13429.31,15.86,36,471.21,8,42875.76,2857.69,3,0,1,1,False,False,True,False,1.0,0,3,6,False,False,False,False,False,True,False,False
60,1830.88,0.13,669,17696.95,13.77,36,602.86,4,22972.57,12143.9,2,0,0,0,False,True,False,False,1.0,3,1,4,False,False,True,False,False,False,False,False
42,2083.87,0.209,666,13980.08,10.93,36,457.23,6,29477.08,21255.53,3,0,0,1,False,True,False,False,1.0,0,2,4,False,False,True,False,False,False,False,False
47,1748.99,0.067,533,10636.93,11.9,60,236.08,2,21867.47,6563.79,0,0,1,1,False,True,False,False,1.0,0,3,6,False,False,False,False,False,False,True,False
55,3824.79,0.206,810,14204.0,11.04,60,309.11,8,52541.02,7091.68,4,0,1,1,False,False,True,False,2.0,0,4,1,False,False,False,False,False,False,True,False
21,2030.34,0.046,633,7313.37,10.67,36,238.29,9,23793.91,22281.05,2,0,1,1,False,True,False,False,3.0,0,1,4,True,False,False,False,False,False,False,False
55,4831.6,0.261,629,13254.56,11.96,60,294.57,5,39471.0,7133.06,0,0,0,1,False,True,False,False,1.0,0,4,4,False,True,False,False,False,False,False,False
57,1800.39,0.01,850,3523.01,6.45,60,68.85,3,25346.6,11315.85,1,0,1,1,False,False,True,False,1.0,4,4,1,False,True,False,False,False,False,False,False
67,1694.11,0.124,556,11670.94,14.24,36,400.25,6,16834.64,2439.02,2,0,0,1,False,False,True,False,2.0,4,5,6,False,False,True,False,False,False,False,False
34,3491.97,0.018,673,13321.75,12.12,36,443.24,4,36750.32,16547.05,1,0,1,2,False,False,True,False,2.0,0,1,3,False,False,True,False,False,False,False,False
23,3288.62,0.071,702,14200.63,7.34,36,440.69,2,36171.7,4237.42,2,0,1,2,False,True,False,False,3.0,1,1,3,True,False,False,False,False,False,False,False
21,5060.7,0.296,674,9172.36,13.92,36,313.13,6,46604.94,14282.98,5,0,1,1,False,True,False,False,0.0,1,5,3,False,False,True,False,False,False,False,False
25,1488.74,0.204,575,7827.92,14.64,36,269.98,3,27040.07,17294.38,3,2,1,0,False,True,False,False,2.0,0,2,6,False,False,True,False,False,False,False,False
46,1202.34,0.247,630,13289.06,13.78,36,452.77,4,14417.15,4852.01,1,0,0,1,False,True,False,False,1.0,4,5,4,True,False,False,False,False,False,False,False
75,6277.78,0.158,702,14285.8,11.79,36,473.06,5,78223.78,51872.95,2,0,1,1,False,False,True,False,1.0,0,4,3,False,False,True,False,False,False,False,False
34,1342.81,0.19,745,15574.09,11.79,36,515.72,3,19793.11,9171.57,1,0,1,1,False,True,False,False,1.0,0,2,2,False,True,False,False,False,False,False,False
59,4978.88,0.082,788,14432.59,10.93,60,313.3,7,52773.13,28746.75,4,0,1,0,False,False,True,False,3.0,2,1,2,False,True,False,False,False,False,False,False
47,738.13,0.173,673,11581.36,11.9,36,384.11,4,9029.37,4735.24,2,0,1,0,False,True,False,False,2.0,0,4,3,False,False,False,False,False,True,False,False
29,4255.12,0.116,740,9598.11,13.89,36,327.53,4,50566.47,18079.22,3,0,1,1,False,False,True,False,1.0,0,2,2,False,False,True,False,False,False,False,False
35,3005.97,0.274,751,24719.93,10.54,36,803.92,6,48786.47,10166.8,1,0,0,1,False,False,True,False,3.0,0,2,2,False,False,True,False,False,False,False,False
35,3858.18,0.096,762,26749.81,9.15,36,852.51,6,62200.04,36801.33,6,0,1,1,False,True,False,False,3.0,4,2,2,False,True,False,False,False,False,False,False
46,4795.96,0.196,673,15596.14,13.65,60,360.07,6,37009.51,9612.28,1,0,1,0,False,False,True,False,2.0,0,3,3,False,False,True,False,False,False,False,False
62,5342.59,0.107,703,17774.27,16.02,36,625.07,7,90089.01,26316.83,2,0,1,0,False,True,False,False,1.0,0,3,3,False,False,False,True,False,False,False,False
